state,total
Uttar Pradesh,554062
Bihar,299950
Madhya Pradesh,232136
Maharashtra,171931
Gujarat,166816
West Bengal,164549
Rajasthan,154860
Assam,143815
Karnataka,96242
Meghalaya,94096
Tamil Nadu,74155
Jharkhand,65225
Delhi,55995
Telangana,53312
Haryana,43711
Odisha,41905
Andhra Pradesh,41278
Punjab,39931
Chhattisgarh,39115
Kerala,21539
Uttarakhand,14405
Jammu and Kashmir,12558
Nagaland,11258
Manipur,6499
Himachal Pradesh,5050
Tripura,4637
Mizoram,3374
Arunachal Pradesh,2001
Orissa,1306
Sikkim,1214
Jammu And Kashmir,950
Chandigarh,845
Goa,767
The Dadra And Nagar Haveli And Daman And Diu,716
Puducherry,636
Pondicherry,539
Dadra and Nagar Haveli,251
Ladakh,180
Andaman and Nicobar Islands,141
Lakshadweep,67
Dadra and Nagar Haveli and Daman and Diu,55
Jammu & Kashmir,42
Daman and Diu,32
Andaman & Nicobar Islands,29
Dadra & Nagar Haveli,11
100000,10
West  Bengal,10
Daman & Diu,6
West Bangal,3
WEST BENGAL,3
West bengal,3
Westbengal,2
WESTBENGAL,1
andhra pradesh,1
